,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,7,0,0,0,0,0,0,0,0,0
Tomato___Early_blight,0,10,1,0,0,1,0,0,0,0
Tomato___Late_blight,0,0,13,1,0,0,0,0,0,0
Tomato___Leaf_Mold,0,0,0,12,0,0,0,0,0,0
Tomato___Septoria_leaf_spot,0,0,1,0,10,0,0,0,0,0
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,5,0,0,0,0
Tomato___Target_Spot,0,0,1,1,0,0,9,0,0,0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0,0,0,0,1,0,9,0,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,0,0,9,0
Tomato___healthy,0,0,0,0,0,0,0,0,0,9
